year,trade_activity,dollars
2009,accommodations_expt,1652658628
2009,accommodations_impt,1910675312
2009,communications_and_utilities_expt,3391570715
2009,communications_and_utilities_impt,6331697582
2009,construction_expt,189752885
2009,construction_impt,226560510
2009,education_reports_to_sponsors_expt,1104163
2009,education_reports_to_sponsors_impt,102031562
2009,energy_expt,1188786454
2009,energy_impt,2482908100
2009,entertainment_services_expt,234908877
2009,entertainment_services_impt,913304826
2009,fire_business_and_professional_services_expt,11220986114
2009,fire_business_and_professional_services_impt,20413827799
2009,food_services_expt,160037546
2009,food_services_impt,498222658
2009,government_administration_expt,47639443
2009,government_administration_impt,42696654
2009,health_services_expt,1671294275
2009,health_services_impt,2399697527
2009,higher_education_expt,113397753
2009,higher_education_impt,320875311
2009,personal_and_other_services_and_amusements_expt,551674056
2009,personal_and_other_services_and_amusements_impt,1455701917
2009,retail_trade_expt,472054630
2009,retail_trade_impt,3044205618
2009,sctg01_fkp_lvsk_expt,263745755
2009,sctg01_fkp_lvsk_impt,219028765
2009,sctg02_fkp_agri_cereal_expt,128025343
2009,sctg02_fkp_agri_cereal_impt,553393849
2009,sctg03_fkp_agri_other_expt,2110259810
2009,sctg03_fkp_agri_other_impt,956579970
2009,sctg04_fkp_feed_expt,225434107
2009,sctg04_fkp_feed_impt,716333464
2009,sctg05_fkp_food_meat_expt,1496683335
2009,sctg05_fkp_food_meat_impt,2376353685
2009,sctg06_fkp_agri_grain_expt,1014619960
2009,sctg06_fkp_agri_grain_impt,950527263
2009,sctg07_fkp_food_prep_expt,7154079927
2009,sctg07_fkp_food_prep_impt,5484363681
2009,sctg08_fkp_food_alc_expt,2493565044
2009,sctg08_fkp_food_alc_impt,1516994439
2009,sctg10_cms_clay_expt,26549033
2009,sctg10_cms_clay_impt,8144575
2009,sctg11_cms_sand_expt,101103702
2009,sctg11_cms_sand_impt,19803396
2009,sctg13_cms_mine_nonmet_expt,18712958
2009,sctg13_cms_mine_nonmet_impt,48413419
2009,sctg14_cms_mine_met_expt,11582729
2009,sctg14_cms_mine_met_impt,418764268
2009,sctg15_pcc_coal_expt,0
2009,sctg15_pcc_coal_impt,191666097
2009,sctg16_pcc_petr_crude_expt,13713125
2009,sctg16_pcc_petr_crude_impt,887321373
2009,sctg17_pcc_fuel_expt,914959
2009,sctg17_pcc_fuel_impt,2381451063
2009,sctg18_pcc_petr_oil_expt,457479
2009,sctg18_pcc_petr_oil_impt,1190725531
2009,sctg19_pcc_coal_prod_expt,574582614
2009,sctg19_pcc_coal_prod_impt,2643523182
2009,sctg20_pcc_chem_basic_expt,1041135931
2009,sctg20_pcc_chem_basic_impt,1616685595
2009,sctg21_pcc_chem_pharma_expt,440391174
2009,sctg21_pcc_chem_pharma_impt,4429266652
2009,sctg22_pcc_chem_fert_expt,281970430
2009,sctg22_pcc_chem_fert_impt,302218127
2009,sctg23_pcc_chem_prod_expt,786051573
2009,sctg23_pcc_chem_prod_impt,2389980770
2009,sctg24_pcc_petr_plast_expt,1931739400
2009,sctg24_pcc_petr_plast_impt,3426750229
2009,sctg25_fwp_logs_expt,323521235
2009,sctg25_fwp_logs_impt,127522358
2009,sctg26_fwp_wood_expt,4156213531
2009,sctg26_fwp_wood_impt,815473240
2009,sctg27_ppp_papr_puplp_expt,2571497026
2009,sctg27_ppp_papr_puplp_impt,680869981
2009,sctg28_ppp_papr_paper_expt,631843338
2009,sctg28_ppp_papr_paper_impt,1125044974
2009,sctg29_ppp_papr_print_expt,331836727
2009,sctg29_ppp_papr_print_impt,1007073327
2009,sctg30_oth_clth_expt,459893628
2009,sctg30_oth_clth_impt,2512377627
2009,sctg31_cms_min_expt,641368997
2009,sctg31_cms_min_impt,932406751
2009,sctg32_mit_metl_base_expt,2916918959
2009,sctg32_mit_metl_base_impt,3381384606
2009,sctg33_mit_metl_prod_expt,1949365221
2009,sctg33_mit_metl_prod_impt,2473855919
2009,sctg34_mit_mach_expt,3924902434
2009,sctg34_mit_mach_impt,6194171546
2009,sctg35_mit_elct_expt,30635238636
2009,sctg35_mit_elct_impt,6338367760
2009,sctg36_mit_tran_expt,1671816426
2009,sctg36_mit_tran_impt,8543331657
2009,sctg37_mit_inst_transp_expt,1830356976
2009,sctg37_mit_inst_transp_impt,1208186126
2009,sctg38_mit_inst_prec_expt,2362480350
2009,sctg38_mit_inst_prec_impt,2605838643
2009,sctg39_oth_furn_expt,796044992
2009,sctg39_oth_furn_impt,1654807128
2009,sctg40_oth_misc_expt,822014927
2009,sctg40_oth_misc_impt,1807315876
2009,sctg41_waste_scrap_expt,105108939
2009,sctg41_waste_scrap_impt,147678424
2009,transport_expt,1805621377
2009,transport_impt,2021399940
2009,wholesale_trade_expt,2298293663
2009,wholesale_trade_impt,2966639214
2010,accommodations_expt,1658981796
2010,accommodations_impt,1924413322
2010,communications_and_utilities_expt,3435079688
2010,communications_and_utilities_impt,6390516643
2010,construction_expt,167539140
2010,construction_impt,228534773
2010,education_reports_to_sponsors_expt,1131994
2010,education_reports_to_sponsors_impt,102783851
2010,energy_expt,1220318949
2010,energy_impt,2551925979
2010,entertainment_services_expt,236404594
2010,entertainment_services_impt,921189178
2010,fire_business_and_professional_services_expt,11417667120
2010,fire_business_and_professional_services_impt,20583691566
2010,food_services_expt,160639946
2010,food_services_impt,502074132
2010,government_administration_expt,46371934
2010,government_administration_impt,42789996
2010,health_services_expt,1700161855
2010,health_services_impt,2417647770
2010,higher_education_expt,115677797
2010,higher_education_impt,323308886
2010,personal_and_other_services_and_amusements_expt,556312352
2010,personal_and_other_services_and_amusements_impt,1466924350
2010,retail_trade_expt,486533080
2010,retail_trade_impt,3054909958
2010,sctg01_fkp_lvsk_expt,256244172
2010,sctg01_fkp_lvsk_impt,225573341
2010,sctg02_fkp_agri_cereal_expt,124870785
2010,sctg02_fkp_agri_cereal_impt,574705105
2010,sctg03_fkp_agri_other_expt,2049243657
2010,sctg03_fkp_agri_other_impt,987549071
2010,sctg04_fkp_feed_expt,235112933
2010,sctg04_fkp_feed_impt,718831443
2010,sctg05_fkp_food_meat_expt,1562059704
2010,sctg05_fkp_food_meat_impt,2414175098
2010,sctg06_fkp_agri_grain_expt,1064872347
2010,sctg06_fkp_agri_grain_impt,962857064
2010,sctg07_fkp_food_prep_expt,7500079202
2010,sctg07_fkp_food_prep_impt,5604323454
2010,sctg08_fkp_food_alc_expt,2670755990
2010,sctg08_fkp_food_alc_impt,1534598559
2010,sctg10_cms_clay_expt,27132691
2010,sctg10_cms_clay_impt,7447326
2010,sctg11_cms_sand_expt,103513686
2010,sctg11_cms_sand_impt,19306580
2010,sctg13_cms_mine_nonmet_expt,19153746
2010,sctg13_cms_mine_nonmet_impt,48195730
2010,sctg14_cms_mine_met_expt,11860343
2010,sctg14_cms_mine_met_impt,424877614
2010,sctg15_pcc_coal_expt,0
2010,sctg15_pcc_coal_impt,194641281
2010,sctg16_pcc_petr_crude_expt,13288069
2010,sctg16_pcc_petr_crude_impt,894766433
2010,sctg17_pcc_fuel_expt,917138
2010,sctg17_pcc_fuel_impt,2371490931
2010,sctg18_pcc_petr_oil_expt,458569
2010,sctg18_pcc_petr_oil_impt,1185745465
2010,sctg19_pcc_coal_prod_expt,574166846
2010,sctg19_pcc_coal_prod_impt,2628755583
2010,sctg20_pcc_chem_basic_expt,1040782210
2010,sctg20_pcc_chem_basic_impt,1598691580
2010,sctg21_pcc_chem_pharma_expt,430044925
2010,sctg21_pcc_chem_pharma_impt,4464265853
2010,sctg22_pcc_chem_fert_expt,294588784
2010,sctg22_pcc_chem_fert_impt,297520853
2010,sctg23_pcc_chem_prod_expt,798978665
2010,sctg23_pcc_chem_prod_impt,2383912291
2010,sctg24_pcc_petr_plast_expt,1925660970
2010,sctg24_pcc_petr_plast_impt,3407847402
2010,sctg25_fwp_logs_expt,320971527
2010,sctg25_fwp_logs_impt,124890656
2010,sctg26_fwp_wood_expt,3854692841
2010,sctg26_fwp_wood_impt,778136097
2010,sctg27_ppp_papr_puplp_expt,2544256262
2010,sctg27_ppp_papr_puplp_impt,686172499
2010,sctg28_ppp_papr_paper_expt,635272848
2010,sctg28_ppp_papr_paper_impt,1148955881
2010,sctg29_ppp_papr_print_expt,365506302
2010,sctg29_ppp_papr_print_impt,1019398263
2010,sctg30_oth_clth_expt,467233012
2010,sctg30_oth_clth_impt,2529943391
2010,sctg31_cms_min_expt,667034786
2010,sctg31_cms_min_impt,913162313
2010,sctg32_mit_metl_base_expt,3040349692
2010,sctg32_mit_metl_base_impt,3327195712
2010,sctg33_mit_metl_prod_expt,1902736661
2010,sctg33_mit_metl_prod_impt,2411191347
2010,sctg34_mit_mach_expt,4001953082
2010,sctg34_mit_mach_impt,6246331630
2010,sctg35_mit_elct_expt,28914698614
2010,sctg35_mit_elct_impt,6261196715
2010,sctg36_mit_tran_expt,1927638617
2010,sctg36_mit_tran_impt,8660511131
2010,sctg37_mit_inst_transp_expt,1864312731
2010,sctg37_mit_inst_transp_impt,1220561070
2010,sctg38_mit_inst_prec_expt,2235610073
2010,sctg38_mit_inst_prec_impt,2621700409
2010,sctg39_oth_furn_expt,832615115
2010,sctg39_oth_furn_impt,1631303088
2010,sctg40_oth_misc_expt,779065535
2010,sctg40_oth_misc_impt,1814573733
2010,sctg41_waste_scrap_expt,105789941
2010,sctg41_waste_scrap_impt,153495546
2010,transport_expt,1817618256
2010,transport_impt,2035354238
2010,wholesale_trade_expt,2333499838
2010,wholesale_trade_impt,2976634559
2011,accommodations_expt,1668007428
2011,accommodations_impt,1941821354
2011,communications_and_utilities_expt,3486142146
2011,communications_and_utilities_impt,6469286344
2011,construction_expt,162753428
2011,construction_impt,230125279
2011,education_reports_to_sponsors_expt,1139355
2011,education_reports_to_sponsors_impt,103572127
2011,energy_expt,1226128986
2011,energy_impt,2543046298
2011,entertainment_services_expt,242128275
2011,entertainment_services_impt,931369102
2011,fire_business_and_professional_services_expt,11555735282
2011,fire_business_and_professional_services_impt,20819342855
2011,food_services_expt,161507719
2011,food_services_impt,506453161
2011,government_administration_expt,46084342
2011,government_administration_impt,42843136
2011,health_services_expt,1750018968
2011,health_services_impt,2436743846
2011,higher_education_expt,116489411
2011,higher_education_impt,325863549
2011,personal_and_other_services_and_amusements_expt,565133442
2011,personal_and_other_services_and_amusements_impt,1479494000
2011,retail_trade_expt,497998224
2011,retail_trade_impt,3078751762
2011,sctg01_fkp_lvsk_expt,255723159
2011,sctg01_fkp_lvsk_impt,229926035
2011,sctg02_fkp_agri_cereal_expt,124749737
2011,sctg02_fkp_agri_cereal_impt,587162546
2011,sctg03_fkp_agri_other_expt,2044805420
2011,sctg03_fkp_agri_other_impt,1004666193
2011,sctg04_fkp_feed_expt,240775854
2011,sctg04_fkp_feed_impt,724001062
2011,sctg05_fkp_food_meat_expt,1609614999
2011,sctg05_fkp_food_meat_impt,2443890924
2011,sctg06_fkp_agri_grain_expt,1092882014
2011,sctg06_fkp_agri_grain_impt,972201759
2011,sctg07_fkp_food_prep_expt,7692646599
2011,sctg07_fkp_food_prep_impt,5683305263
2011,sctg08_fkp_food_alc_expt,2715457264
2011,sctg08_fkp_food_alc_impt,1547271578
2011,sctg10_cms_clay_expt,27091326
2011,sctg10_cms_clay_impt,7312720
2011,sctg11_cms_sand_expt,103302109
2011,sctg11_cms_sand_impt,19263112
2011,sctg13_cms_mine_nonmet_expt,19115899
2011,sctg13_cms_mine_nonmet_impt,48813001
2011,sctg14_cms_mine_met_expt,11834037
2011,sctg14_cms_mine_met_impt,439545347
2011,sctg15_pcc_coal_expt,0
2011,sctg15_pcc_coal_impt,200112346
2011,sctg16_pcc_petr_crude_expt,13257820
2011,sctg16_pcc_petr_crude_impt,909065167
2011,sctg17_pcc_fuel_expt,934231
2011,sctg17_pcc_fuel_impt,2388320823
2011,sctg18_pcc_petr_oil_expt,467115
2011,sctg18_pcc_petr_oil_impt,1194160411
2011,sctg19_pcc_coal_prod_expt,589709753
2011,sctg19_pcc_coal_prod_impt,2661361673
2011,sctg20_pcc_chem_basic_expt,1068610558
2011,sctg20_pcc_chem_basic_impt,1616507358
2011,sctg21_pcc_chem_pharma_expt,442792426
2011,sctg21_pcc_chem_pharma_impt,4513997086
2011,sctg22_pcc_chem_fert_expt,302219903
2011,sctg22_pcc_chem_fert_impt,298986550
2011,sctg23_pcc_chem_prod_expt,826946752
2011,sctg23_pcc_chem_prod_impt,2410481184
2011,sctg24_pcc_petr_plast_expt,1954836878
2011,sctg24_pcc_petr_plast_impt,3465487389
2011,sctg25_fwp_logs_expt,337684192
2011,sctg25_fwp_logs_impt,129871024
2011,sctg26_fwp_wood_expt,3697311738
